id,tname,tauthor,worms_id,rank_name,phylum,class,order,family,genus,species,redlist,gisd,hab,status
400503,Amblyraja georgiana,"(Norman, 1938)",234607,Species,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja georgiana,t,,,DD
405574,Architeuthis dux,"Steenstrup, 1857",342218,Species,Mollusca,Cephalopoda,Oegopsida,Architeuthidae,Architeuthis,Architeuthis dux,t,,,LC
405677,Arctocephalus gazella,"(Peters, 1875)",231404,Species,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus gazella,t,,,LC
409234,Balaenoptera bonaerensis,"Burmeister, 1867",231405,Species,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera bonaerensis,t,,,DD
409235,Balaenoptera borealis,"Lesson, 1828",137088,Species,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera borealis,t,,,EN
409238,Balaenoptera musculus,"(Linnaeus, 1758)",137090,Species,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus,t,,,EN
409240,Balaenoptera physalus,"(Linnaeus, 1758)",137091,Species,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera physalus,t,,,EN
410786,Bathyraja meridionalis,"Stehmann, 1987",234792,Species,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja meridionalis,t,,,DD
410855,Bathyteuthis abyssicola,"Hoyle, 1885",138848,Species,Mollusca,Cephalopoda,Decapodiformes incertae sedis,Bathyteuthidae,Bathyteuthis,Bathyteuthis abyssicola,t,,,LC
410925,Batoteuthis skolops,"Young & Roper, 1968",325293,Species,Mollusca,Cephalopoda,Oegopsida,Batoteuthidae,Batoteuthis,Batoteuthis skolops,t,,,LC
411403,Berardius arnuxii,"Duvernoy, 1851",242606,Species,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Berardius,Berardius arnuxii,t,,,DD
412784,Brachioteuthis riisei,"(Steenstrup, 1882)",138852,Species,Mollusca,Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis,Brachioteuthis riisei,t,,,DD
423067,Cirroctopus antarctica,"(Kubodera & Okutani, 1986)",342258,Species,Mollusca,Cephalopoda,Octopoda,Cirroctopodidae,Cirroctopus,Cirroctopus antarctica,t,,,LC
440813,Eubalaena australis,"(Desmoulins, 1822)",220222,Species,Chordata,Mammalia,Cetartiodactyla,Balaenidae,Eubalaena,Eubalaena australis,t,,,LC
441388,Eudyptes chrysolophus,"(Brandt, 1837)",212658,Species,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,t,,,VU
444665,Fulmarus glacialoides,"(Smith, 1840)",212638,Species,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialoides,t,,,LC
445409,Galiteuthis glacialis,"(Chun, 1906)",325297,Species,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis,Galiteuthis glacialis,t,,,LC
446726,Globicephala melas,"(Traill, 1809)",137097,Species,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,Globicephala melas,t,,,DD
450915,Halobaena caerulea,"(Gmelin, 1789)",212645,Species,Chordata,Aves,Procellariiformes,Procellariidae,Halobaena,Halobaena caerulea,t,,,LC
453841,Hexanchus griseus,"(Bonnaterre, 1788)",105833,Species,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Hexanchus griseus,t,,,NT
454494,Histioteuthis eltaninae,"N. Voss, 1969",341867,Species,Mollusca,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis,Histioteuthis eltaninae,t,,,LC
455778,Hydrurga leptonyx,"(Blainville, 1820)",231417,Species,Chordata,Mammalia,Carnivora,Phocidae,Hydrurga,Hydrurga leptonyx,t,,,LC
456060,Hyperoodon planifrons,"Flower, 1882",343900,Species,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Hyperoodon,Hyperoodon planifrons,t,,,LC
457793,Isurus oxyrinchus,"Rafinesque, 1810",105839,Species,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Isurus,Isurus oxyrinchus,t,,,VU
458808,Kondakovia longimana,"Filippova, 1972",325308,Species,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Kondakovia,Kondakovia longimana,t,,,LC
458871,Krefftichthys anderssoni,"(Lönnberg, 1905)",234641,Species,Chordata,Actinopteri,Myctophiformes,Myctophidae,Krefftichthys,Krefftichthys anderssoni,t,,,LC
460238,Larus dominicanus,"Lichtenstein, 1823",212624,Species,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus dominicanus,t,,,LC
462184,Leptonychotes weddellii,"(Lesson, 1826)",195932,Species,Chordata,Mammalia,Carnivora,Phocidae,Leptonychotes,Leptonychotes weddellii,t,,,LC
466723,Macronectes giganteus,"(Gmelin, 1789)",212636,Species,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes giganteus,t,,,LC
466724,Macronectes halli,"Mathews, 1912",212637,Species,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes halli,t,,,LC
470185,Mesothuria bifurcata,"Hérouard, 1901",732428,Species,Echinodermata,Holothuroidea,Aspidochirotida,Mesothuriidae,Mesothuria,Mesothuria bifurcata,t,,,DD
471888,Mirounga leonina,"(Linnaeus, 1758)",231413,Species,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga leonina,t,,,LC
480963,Ommatophoca rossii,"Gray, 1844",231412,Species,Chordata,Mammalia,Carnivora,Phocidae,Ommatophoca,Ommatophoca rossii,t,,,LC
483005,Orcinus orca,"(Linnaeus, 1758)",137102,Species,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Orcinus orca,t,,,DD
484202,Pachyptila belcheri,"(Mathews, 1912)",212646,Species,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila belcheri,t,,,LC
484207,Pachyptila turtur,"(Kuhl, 1820)",212648,Species,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila turtur,t,,,LC
491433,Phoebetria fusca,"(Hilsenberg, 1822)",212632,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,Phoebetria fusca,t,,,EN
491435,Phoebetria palpebrata,"(Forster, 1785)",212631,Species,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,Phoebetria palpebrata,t,,,NT
492276,Physeter macrocephalus,"Linnaeus, 1758",137119,Species,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Physeter,Physeter macrocephalus,t,,,VU
497830,Procellaria aequinoctialis,"Linnaeus, 1758",212651,Species,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Procellaria aequinoctialis,t,,,VU
497831,Procellaria cinerea,"Gmelin, 1789",212652,Species,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Procellaria cinerea,t,,,NT
500494,Pseudostichopus mollis,"Théel, 1886",152565,Species,Echinodermata,Holothuroidea,Aspidochirotida,Synallactidae,Pseudostichopus,Pseudostichopus mollis,t,,,DD
500801,Psychroteuthis glacialis,"Thiele, 1920",325312,Species,Mollusca,Cephalopoda,Oegopsida,Psychroteuthidae,Psychroteuthis,Psychroteuthis glacialis,t,,,LC
